war_name,war_deaths_low,war_deaths_high,civil_war,midpoint,region
Third Anglo-Afghan War,1177,1236,Interstate war,1919,Asia
Mahdist-Italian War,1130,3142,Interstate war,1893.5,North Africa and Middle East
Kargil Conflict,1107,3527,Interstate war,1999,Asia
Russo-Chinese War,1080,4000,Interstate war,1900,Asia
Franco-Mandingo War V,1051,1100,Interstate war,1891.5,Sub-Saharan Africa
Franco-Rabah Empire War,1025,1825,Interstate war,1900,Sub-Saharan Africa
Falklands War,1001,1255,Interstate war,1982,Americas
Yemen Border War II,1000,1000,Interstate war,1979,North Africa and Middle East
Franco-Moroccan War,1000,1390,Interstate war,1844,North Africa and Middle East
Franco-Spanish War,1000,1000,Interstate war,1823,Europe
Wadai War,847,3562,Interstate war,1909.5,Sub-Saharan Africa
Serbo-Bulgarian War,842,9685,Interstate war,1885.5,Europe
Turkish-Armenian War,755,1473,Interstate war,1920,North Africa and Middle East
Peruvian-Ecuadorian War,700,800,Interstate war,1941,Americas
Second Sino-Vietnamese War,700,1700,Interstate war,1987,Asia
Gran Colombia-Peru War,660,4500,Interstate war,1828.5,Americas
Waziristan Campaign,659,3550,Interstate war,1919.5,Asia
Dniestrian Independence War,648,1262,Civil war,1992,Europe
War of Dogali,631,1368,Interstate war,1887,North Africa and Middle East
Israel-Hezbollah War,619,721,Interstate war,2006,North Africa and Middle East
Portugal-Gaza Nguni War,610,9950,Interstate war,1895,Sub-Saharan Africa
Fifth Cape Frontier War,580,2090,Interstate war,1818.5,Sub-Saharan Africa
Spanish-American War,580,1180,Interstate war,1898,Asia
First Matabele War,578,2091,Interstate war,1893.5,Sub-Saharan Africa
France-Tukolor Empire War,524,524,Interstate war,1893,Sub-Saharan Africa
British Abyssinian Expedition,501,802,Interstate war,1868,North Africa and Middle East
Bombardment of Algiers,442,2142,Interstate war,1816,North Africa and Middle East
Georgian-Ossetian Conflict,415,2035,Civil war,1991.5,Europe
Second Central American War,400,2200,Interstate war,1885,Americas
