DATAFLOW,LAST UPDATE,freq,n_book,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,FR,2022,46.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,HR,2022,61.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,HU,2022,65.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,IE,2022,40.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,IT,2022,74.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,LT,2022,36.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,LU,2022,38.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,LV,2022,51.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,ME,2022,67.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,MT,2022,64.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,NL,2022,45.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,NO,2022,32.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,PL,2022,41.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,PT,2022,68.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,RO,2022,78.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,RS,2022,73.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,SE,2022,34.8,
