who,TEAGE,category,n,N,p,X,Y,whofct
Alone,62,Alone,1327,2407,0.5513086830078936,0.7260841836734694,100,Alone
Alone,62,Family,0,0,0,0.7260841836734694,100,Alone
Alone,62,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,62,Work,0,0,0,0.7260841836734694,100,Alone
Alone,63,Alone,1287,2351,0.547426626967248,0.7260841836734694,100,Alone
Alone,63,Family,0,0,0,0.7260841836734694,100,Alone
Alone,63,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,63,Work,0,0,0,0.7260841836734694,100,Alone
Alone,64,Alone,1538,2633,0.5841245727307254,0.7260841836734694,100,Alone
Alone,64,Family,0,0,0,0.7260841836734694,100,Alone
Alone,64,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,64,Work,0,0,0,0.7260841836734694,100,Alone
Alone,65,Alone,1584,2647,0.5984132980732905,0.7260841836734694,100,Alone
Alone,65,Family,0,0,0,0.7260841836734694,100,Alone
Alone,65,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,65,Work,0,0,0,0.7260841836734694,100,Alone
Alone,66,Alone,1071,2023,0.5294117647058824,0.7260841836734694,100,Alone
Alone,66,Family,0,0,0,0.7260841836734694,100,Alone
Alone,66,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,66,Work,0,0,0,0.7260841836734694,100,Alone
Alone,67,Alone,1421,2385,0.5958071278825996,0.7260841836734694,100,Alone
Alone,67,Family,0,0,0,0.7260841836734694,100,Alone
Alone,67,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,67,Work,0,0,0,0.7260841836734694,100,Alone
Alone,68,Alone,1763,2932,0.6012960436562074,0.7260841836734694,100,Alone
Alone,68,Family,0,0,0,0.7260841836734694,100,Alone
Alone,68,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,68,Work,0,0,0,0.7260841836734694,100,Alone
Alone,69,Alone,1436,2315,0.6203023758099352,0.7260841836734694,100,Alone
Alone,69,Family,0,0,0,0.7260841836734694,100,Alone
Alone,69,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,69,Work,0,0,0,0.7260841836734694,100,Alone
Alone,70,Alone,1219,2200,0.5540909090909091,0.7260841836734694,100,Alone
Alone,70,Family,0,0,0,0.7260841836734694,100,Alone
Alone,70,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,70,Work,0,0,0,0.7260841836734694,100,Alone
Alone,71,Alone,1286,2307,0.5574338968357174,0.7260841836734694,100,Alone
Alone,71,Family,0,0,0,0.7260841836734694,100,Alone
Alone,71,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,71,Work,0,0,0,0.7260841836734694,100,Alone
Alone,72,Alone,1257,2119,0.5932043416705993,0.7260841836734694,100,Alone
Alone,72,Family,0,0,0,0.7260841836734694,100,Alone
Alone,72,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,72,Work,0,0,0,0.7260841836734694,100,Alone
