Year;Non-electoral autocracies;One-party autocracies;Multi-party autocracies without elected executive;Multi-party autocracy;Exclusive democracies;Male democracies;Electoral democracies;Polyarchies;Frec Total;Frec Non-electoral autocracies;Frec One-party autocracies;Frec Multi-party autocracies without elected executive;Frec Multi-party autocracy;Frec Exclusive democracies;Frec Male democracies;Frec Electoral democracies;Frec Polyarchies
1920;90;5;22;15;6;10;11;5;164;0,549;0,030;0,134;0,091;0,037;0,061;0,067;0,030
1921;88;5;22;17;6;9;12;5;164;0,537;0,030;0,134;0,104;0,037;0,055;0,073;0,030
1922;87;8;22;18;6;7;12;6;166;0,524;0,048;0,133;0,108;0,036;0,042;0,072;0,036
1923;88;9;21;17;6;7;11;7;166;0,530;0,054;0,127;0,102;0,036;0,042;0,066;0,042
1924;84;10;25;17;5;8;11;7;167;0,503;0,060;0,150;0,102;0,030;0,048;0,066;0,042
1925;85;12;25;14;4;9;11;7;167;0,509;0,072;0,150;0,084;0,024;0,054;0,066;0,042
1926;82;13;30;12;4;10;9;7;167;0,491;0,078;0,180;0,072;0,024;0,060;0,054;0,042
1927;82;13;30;13;4;9;9;7;167;0,491;0,078;0,180;0,078;0,024;0,054;0,054;0,042
1928;83;14;27;13;4;9;9;8;167;0,497;0,084;0,162;0,078;0,024;0,054;0,054;0,048
1929;82;15;26;13;4;10;9;8;167;0,491;0,090;0,156;0,078;0,024;0,060;0,054;0,048
1930;86;14;26;11;4;9;9;8;167;0,515;0,084;0,156;0,066;0,024;0,054;0,054;0,048
1931;80;19;27;8;6;9;9;9;167;0,479;0,114;0,162;0,048;0,036;0,054;0,054;0,054
1932;76;16;29;11;7;8;10;9;166;0,458;0,096;0,175;0,066;0,042;0,048;0,060;0,054
1933;77;18;29;13;4;8;10;6;165;0,467;0,109;0,176;0,079;0,024;0,048;0,061;0,036
1934;81;20;28;11;5;6;8;6;165;0,491;0,121;0,170;0,067;0,030;0,036;0,048;0,036
1935;81;19;28;14;4;5;8;6;165;0,491;0,115;0,170;0,085;0,024;0,030;0,048;0,036
1936;83;20;28;14;4;3;8;5;165;0,503;0,121;0,170;0,085;0,024;0,018;0,048;0,030
1937;82;20;30;14;4;3;8;5;166;0,494;0,120;0,181;0,084;0,024;0,018;0,048;0,030
1938;79;19;31;17;4;3;9;4;166;0,476;0,114;0,187;0,102;0,024;0,018;0,054;0,024
1939;81;20;30;14;5;3;11;2;166;0,488;0,120;0,181;0,084;0,030;0,018;0,066;0,012
1940;88;17;30;12;5;1;10;0;163;0,540;0,104;0,184;0,074;0,031;0,006;0,061;0
1941;88;18;30;11;5;1;10;0;163;0,540;0,110;0,184;0,067;0,031;0,006;0,061;0
1942;90;18;29;10;5;1;10;0;163;0,552;0,110;0,178;0,061;0,031;0,006;0,061;0
1943;93;18;28;8;5;1;10;0;163;0,571;0,110;0,172;0,049;0,031;0,006;0,061;0
1944;92;19;28;7;6;1;9;1;163;0,564;0,117;0,172;0,043;0,037;0,006;0,055;0,006
1945;85;19;27;9;7;3;14;1;165;0,515;0,115;0,164;0,055;0,042;0,018;0,085;0,006
1946;65;17;39;13;8;5;6;13;166;0,392;0,102;0,235;0,078;0,048;0,030;0,036;0,078
1947;63;15;42;16;8;4;9;13;170;0,371;0,088;0,247;0,094;0,047;0,024;0,053;0,076
1948;65;18;42;16;6;4;7;15;173;0,376;0,104;0,243;0,092;0,035;0,023;0,040;0,087
1949;61;24;42;11;6;3;9;17;173;0,353;0,139;0,243;0,064;0,035;0,017;0,052;0,098
1950;57;26;42;10;7;3;8;18;171;0,333;0,152;0,246;0,058;0,041;0,018;0,047;0,105
1951;55;22;52;10;7;4;7;18;175;0,314;0,126;0,297;0,057;0,040;0,023;0,040;0,103
1952;53;22;52;12;6;3;9;18;175;0,303;0,126;0,297;0,069;0,034;0,017;0,051;0,103
1953;55;23;49;12;6;3;9;18;175;0,314;0,131;0,280;0,069;0,034;0,017;0,051;0,103
1954;55;21;49;13;6;3;9;19;175;0,314;0,120;0,280;0,074;0,034;0,017;0,051;0,109
1955;51;19;52;16;6;3;9;19;175;0,291;0,109;0,297;0,091;0,034;0,017;0,051;0,109
1956;47;21;51;18;6;3;8;21;175;0,269;0,120;0,291;0,103;0,034;0,017;0,046;0,120
1957;46;22;49;19;6;2;9;22;175;0,263;0,126;0,280;0,109;0,034;0,011;0,051;0,126
1958;46;22;49;19;6;1;10;22;175;0,263;0,126;0,280;0,109;0,034;0,006;0,057;0,126
1959;44;22;51;19;6;1;9;23;175;0,251;0,126;0,291;0,109;0,034;0,006;0,051;0,131
1960;42;28;36;24;6;3;12;23;174;0,241;0,161;0,207;0,138;0,034;0,017;0,069;0,132
1961;36;33;35;23;7;3;14;23;174;0,207;0,190;0,201;0,132;0,040;0,017;0,080;0,132
1962;38;35;33;21;6;3;14;24;174;0,218;0,201;0,190;0,121;0,034;0,017;0,080;0,138
1963;40;35;32;18;6;3;17;24;175;0,229;0,200;0,183;0,103;0,034;0,017;0,097;0,137
1964;39;38;31;18;5;2;16;26;175;0,223;0,217;0,177;0,103;0,029;0,011;0,091;0,149
1965;37;43;30;15;4;2;16;27;174;0,213;0,247;0,172;0,086;0,023;0,011;0,092;0,155
1966;39;43;24;20;4;1;14;29;174;0,224;0,247;0,138;0,115;0,023;0,006;0,080;0,167
1967;42;37;19;24;4;1;16;31;174;0,241;0,213;0,109;0,138;0,023;0,006;0,092;0,178
1968;44;35;17;26;4;1;16;31;174;0,253;0,201;0,098;0,149;0,023;0,006;0,092;0,178
1969;47;37;16;22;4;1;15;32;174;0,270;0,213;0,092;0,126;0,023;0,006;0,086;0,184
